movieId	title	genres	year	imdbId	tags	rating
1	['Toy Story']	['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']	['1995']	114709	['pixar', 'fun']	3.92
2	['Jumanji']	['Adventure', 'Children', 'Fantasy']	['1995']	113497	['fantasy', 'magic board game', 'Robin Williams', 'game']	3.43
3	['Grumpier Old Men']	['Comedy', 'Romance']	['1995']	113228	['moldy', 'old']	3.26
4	['Waiting to Exhale']	['Comedy', 'Drama', 'Romance']	['1995']	114885	NULL	2.36
5	['Father of the Bride Part II']	['Comedy']	['1995']	113041	['pregnancy', 'remake']	3.07
6	['Heat']	['Action', 'Crime', 'Thriller']	['1995']	113277	NULL	3.95
7	['Sabrina']	['Comedy', 'Romance']	['1995']	114319	['remake']	3.19
8	['Tom and Huck']	['Adventure', 'Children']	['1995']	112302	NULL	2.88
9	['Sudden Death']	['Action']	['1995']	114576	NULL	3.12
10	['GoldenEye']	['Action', 'Adventure', 'Thriller']	['1995']	113189	NULL	3.5
11	['American President, The']	['Comedy', 'Drama', 'Romance']	['1995']	112346	['politics', 'president']	3.67
12	['Dracula: Dead and Loving It']	['Comedy', 'Horror']	['1995']	112896	NULL	2.42
13	['Balto']	['Adventure', 'Animation', 'Children']	['1995']	112453	NULL	3.12
14	['Nixon']	['Drama']	['1995']	113987	['politics', 'president']	3.83
15	['Cutthroat Island']	['Action', 'Adventure', 'Romance']	['1995']	112760	NULL	3.0
16	['Casino']	['Crime', 'Drama']	['1995']	112641	['Mafia']	3.93
17	['Sense and Sensibility']	['Drama', 'Romance']	['1995']	114388	['Jane Austen']	3.78
18	['Four Rooms']	['Comedy']	['1995']	113101	NULL	3.7
19	['Ace Ventura: When Nature Calls']	['Comedy']	['1995']	112281	NULL	2.73
20	['Money Train']	['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']	['1995']	113845	NULL	2.5
21	['Get Shorty']	['Comedy', 'Crime', 'Thriller']	['1995']	113161	['Hollywood']	3.49
22	['Copycat']	['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']	['1995']	112722	['serial killer']	3.22
23	['Assassins']	['Action', 'Crime', 'Thriller']	['1995']	112401	NULL	3.12
24	['Powder']	['Drama', 'Sci-Fi']	['1995']	114168	NULL	3.12
25	['Leaving Las Vegas']	['Drama', 'Romance']	['1995']	113627	['alcoholism']	3.62
26	['Othello']	['Drama']	['1995']	114057	['Shakespeare']	3.5
27	['Now and Then']	['Children', 'Drama']	['1995']	114011	NULL	3.33
28	['Persuasion']	['Drama', 'Romance']	['1995']	114117	['In Netflix queue', 'Jane Austen']	4.23
29	['City of Lost Children, The (Cité des enfants perdus, La)']	['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']	['1995']	112682	['kidnapping']	4.01
30	['Shanghai Triad (Yao a yao yao dao waipo qiao)']	['Crime', 'Drama']	['1995']	115012	NULL	3.0
31	['Dangerous Minds']	['Drama']	['1995']	112792	['high school', 'teacher']	3.18
32	['Twelve Monkeys (a.k.a. 12 Monkeys)']	['Mystery', 'Sci-Fi', 'Thriller']	['1995']	114746	['time travel', 'Brad Pitt', 'Bruce Willis', 'mindfuck', 'Post apocalyptic', 'post-apocalyptic', 'remake', 'twist ending']	3.98
